name,Canonical SMILES,InChIKey,Toxicity Value,SPECTRUMID
Physostigmine M+H,CNC(=O)Oc1ccc2c(c1)C1(C)CCN(C)C1N2C,PIJVFDBKTWXHHD-UHFFFAOYSA-N,0.659995206,CCMSLIB00000081265
Quinidine M+H,C=CC1CN2CCC1CC2C(O)c1ccnc2ccc(OC)cc12,LOUPRKONTZGTKE-UHFFFAOYSA-N,29.99778068,CCMSLIB00000424789
Dextromethorphan M+H,COc1ccc2c(c1)C13CCCCC1C(C2)N(C)CC3,MKXZASYAUGDDCJ-UHFFFAOYSA-N,19.79970818,CCMSLIB00004679246
Cocaine M+H,COC(=O)C1C(OC(=O)c2ccccc2)CC2CCC1N2C,ZPUCINDJVBIVPJ-UHFFFAOYSA-N,9.999736295,CCMSLIB00004679364
PYRIDOXAL M+H,Cc1ncc(CO)c(C=O)c1O,RADKZDMFGJYCBB-UHFFFAOYSA-N,159.9961714,CCMSLIB00005436172
Nicotine M+H,CN1CCCC1c1cccnc1,SNICXCGAKADSCV-UHFFFAOYSA-N,1.299951921,CCMSLIB00005720169
Calactin M+TFA-H,CC1CC(O)C2(O)OC3CC4(C=O)C(CCC5C4CCC4(C)C(C6=CC(=O)OC6)CCC54O)CC3OC2O1,OWPWFVVPBYFKBG-UHFFFAOYSA-N,0.102994199,CCMSLIB00005724354
"(7R,10R,14R,18R,22S)-10,22-dihydroxy-7,18-dimethyl-19-(5-oxo-2,5-dihydrofuran-3-yl)-5'H-4,6,11-trioxaspiro[hexacyclo[12.11.0.0,.0?,?.0?,.0?,]pentacosane-9,2'-[1,3]thiazole]-14-carbaldehyde M-H",CC1CC2(N=CCS2)C2(O)OC3CC4(C=O)C(CCC5C4CCC4(C)C(C6=CC(=O)OC6)CCC54O)CC3OC2O1,DONIPVCAKBPJLH-UHFFFAOYSA-N,0.143991425,CCMSLIB00005724525
"(1R,2R,3aS,3bS,8S,9aR,9bR,11aR)-1-[(2R,4E)-2,6-dihydroxy-6-methyl-3-oxohept-4-en-2-yl]-2,8-dihydroxy-3a,6,6,9b,11a-pentamethyl-1H,2H,3H,3aH,3bH,4H,6H,7H,8H,9H,9aH,9bH,10H,11H,11aH-cyclopenta[a]phenanthrene-7,10-dione M-H",CC(C)(O)C=CC(=O)C(C)(O)C1C(O)CC2(C)C3CC=C4C(CC(O)C(=O)C4(C)C)C3(C)C(=O)CC12C,SRPHMISUTWFFKJ-UHFFFAOYSA-N,0.900043547,CCMSLIB00005724878
GAMMA-AMINOBUTYRATE - 20.0 eV M+H,NCCCC(=O)O,BTCSSZJGUNDROE-UHFFFAOYSA-N,4999.951508,CCMSLIB00005883670
PYRIDOXAMINE - 20.0 eV M+H,Cc1ncc(CO)c(CN)c1O,NHZMQXZHNVQTQA-UHFFFAOYSA-N,539.9807373,CCMSLIB00005884353
Acovenoside A M+H,COC1C(O)C(C)OC(OC2CC(O)C3(C)C(CCC4C3CCC3(C)C(C5=CC(=O)OC5)CCC43O)C2)C1O,DKYDBQQIQAPGMH-UHFFFAOYSA-N,0.35133023,CCMSLIB00006126867
Desglucouzarin M+H,CC12CCC(OC3OC(CO)C(O)C(O)C3O)CC1CCC1C2CCC2(C)C(C3=CC(=O)OC3)CCC12O,CMHWMOGWFZWDMR-UHFFFAOYSA-N,0.120008497,CCMSLIB00006581619
