name,Canonical SMILES,InChIKey,Toxicity Value,SPECTRUMID
Salicylic acid M+H,O=C(O)c1ccccc1O,YGSDEFSMJLZEOE-UHFFFAOYSA-N,399.994208,CCMSLIB00000078854
Theobromine M+H,Cn1cnc2c1c(=O)[nH]c(=O)n2C,YAPQBXQYLJRXSA-UHFFFAOYSA-N,199.9922296,CCMSLIB00000424791
Aflatoxin B1 (putative_Observed from A. flavus)  M+Na,COc1cc2c(c3oc(=O)c4c(c13)CCC4=O)C1C=COC1O2,OQIQSTLJSLGHID-UHFFFAOYSA-N,0.549987671,CCMSLIB00000427294
PYRIDOXAL M+H,Cc1ncc(CO)c(C=O)c1O,RADKZDMFGJYCBB-UHFFFAOYSA-N,499.9880361,CCMSLIB00005436172
PYRIDOXAMINE - 20.0 eV M+H,Cc1ncc(CO)c(CN)c1O,NHZMQXZHNVQTQA-UHFFFAOYSA-N,999.964328,CCMSLIB00005884353
"2,4-Dinitrophenol M-H",O=[N+]([O-])c1ccc(O)c([N+](=O)[O-])c1,UFBJCMHMOXMLKC-UHFFFAOYSA-N,75.0012221,CCMSLIB00006718064
Hydroquinone M+H,Oc1ccc(O)cc1,QIGBRXMKCJKVMJ-UHFFFAOYSA-N,49.99909179,CCMSLIB00006718073
Catechol M-H,Oc1ccccc1O,YCIMNLLNPGFGHC-UHFFFAOYSA-N,99.99818365,CCMSLIB00010011999
Warfarin [M+H]+,CC(=O)CC(c1ccccc1)c1c(O)c2ccccc2oc1=O,PJVWKTKQMONHTI-UHFFFAOYSA-N,5.999357839,CCMSLIB00015625754
Amitriptyline [M+H]+,CN(C)CCC=C1c2ccccc2CCc2ccccc21,KRMDCWKBEZIMAB-UHFFFAOYSA-N,36.99853285,CCMSLIB00015625783
Digoxin [M+H]+,CC1OC(OC2C(O)CC(OC3C(O)CC(OC4CCC5(C)C(CCC6C5CC(O)C5(C)C(C7=CC(=O)OC7)CCC65O)C4)OC3C)OC2C)CC(O)C1O,LTMHDMANZUZIPE-UHFFFAOYSA-N,0.199987451,CCMSLIB00015625789
Indomethacin M+H,COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,CGIGDMFJXJATDK-UHFFFAOYSA-N,320.0062608,CCMSLIB00000004233
Sulfameter M+H,COc1cnc(NS(=O)(=O)c2ccc(N)cc2)nc1,GPTONYMQFTZPKC-UHFFFAOYSA-N,1000.003568,CCMSLIB00000004311
Natamycin M+H,CC1CC=CC=CC=CC=CC(OC2OC(C)C(O)C(N)C2O)CC2OC(O)(CC(O)CC3OC3C=CC(=O)O1)CC(O)C2C(=O)O,NCXMLFZGDNKEPB-UHFFFAOYSA-N,299.9851295,CCMSLIB00000004692
Protionamide (Prothionamide) [M+H],CCCc1cc(C(N)=S)ccn1,VRDIULHPQTYCLN-UHFFFAOYSA-N,999.9667184,CCMSLIB00000078325
Acemetacin (Emflex) [M+H],COc1ccc2c(c1)c(CC(=O)OCC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,FSQKKOOTNAMONP-UHFFFAOYSA-N,599.9581565,CCMSLIB00000078527
"NCGC00169458-03!5-[(3S,8R,10R,13R,14S,17R)-14-hydroxy-10,13-dimethyl-3-[(2R,3R,4R,5R,6S)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxy-1,2,3,6,7,8,9,11,12,15,16,17-dodecahydrocyclopenta[a]phenanthren-17-yl]pyran-2-one M+H",CC1OC(OC2C=C3CCC4C(CCC5(C)C(c6ccc(=O)oc6)CCC45O)C3(C)CC2)C(O)C(O)C1O,MYEJFUXQJGHEQK-UHFFFAOYSA-N,0.376958794,CCMSLIB00000848836
NCGC00186632-02_C21H22N2O2_Strychnidin-10-one M+H,O=C1CC2OCC=C3CN4CCC56c7ccccc7N1C5C2C3CC46,QMGVPVSNSZLJIA-UHFFFAOYSA-N,0.499971592,CCMSLIB00000852627
NCGC00142623-05_C41H64O13_Crystodigin M+Na,CC1OC(OC2C(O)CC(OC3C(O)CC(OC4CCC5(C)C(CCC6C5CCC5(C)C(C7=CC(=O)OC7)CCC65O)C4)OC3C)OC2C)CC(O)C1O,WDJUZGPOPHTGOT-UHFFFAOYSA-N,0.179988234,CCMSLIB00000855149
MLS000860042-01!Pirfenidone M+H,Cc1ccc(=O)n(-c2ccccc2)c1,ISWRGOKTTBVCFA-UHFFFAOYSA-N,499.9838033,CCMSLIB00000085154
MLS002207196-01!Dimethoate60-51-5 M+H,CNC(=O)CSP(=S)(OC)OC,MCWXGJITAZMZEV-UHFFFAOYSA-N,100.0161387,CCMSLIB00000085896
"Pesticide2_Tebuthiuron_C9H16N4OS_Urea, N-[5-(1,1-dimethylethyl)-1,3,4-thiadiazol-2-yl]-N,N'-dimethyl- M+H",CNC(=O)N(C)c1nnc(C(C)(C)C)s1,HBPDKDSFLXWOAE-UHFFFAOYSA-N,199.9991241,CCMSLIB00001058342
"Pesticide2_Methabenzthiazuron_C10H11N3OS_1-(1,3-Benzothiazol-2-yl)-1,3-dimethylurea M+H",CNC(=O)N(C)c1nc2ccccc2s1,RRVIAQKBTUQODI-UHFFFAOYSA-N,999.9774044,CCMSLIB00001058350
"Pesticide5_Metribuzin_C8H14N4OS_4-Amino-6-(2-methyl-2-propanyl)-3-(methylsulfanyl)-1,2,4-triazin-5(4H)-one M+H",CSc1nnc(C(C)(C)C)c(=O)n1N,FOXFZRUHNHCZPX-UHFFFAOYSA-N,499.9906671,CCMSLIB00001058467
Pesticide6_Ethirimol_C11H19N3O_882476 M+H,CCCCc1c(C)[nH]c(NCC)nc1=O,BBXXLROWFHWFQY-UHFFFAOYSA-N,999.9856665,CCMSLIB00001058541
Pesticide1_Omethoate_C5H12NO4PS_ M+H,CNC(=O)CSP(=O)(OC)OC,PZXOQEXFMJCDPG-UHFFFAOYSA-N,49.99882734,CCMSLIB00001058630
Pesticide1_Trichlorfon_C4H8Cl3O4P_Cekufon M+H,COP(=O)(OC)C(O)C(Cl)(Cl)Cl,NFACJZMKEDPNKN-UHFFFAOYSA-N,96.99736236,CCMSLIB00001058639
Pesticide1_Carbaryl_C12H11NO2_1-Naphthyl methylcarbamate M+H,CNC(=O)Oc1cccc2ccccc12,CVXBEEMKQHEXEN-UHFFFAOYSA-N,149.9962728,CCMSLIB00001058720
MMV001499 M+H,CC1CS(=O)(=O)CCN1N=Cc1ccc([N+](=O)[O-])o1,ARFHIAQFJWUCFH-UHFFFAOYSA-N,3999.902537,CCMSLIB00004722097
Spectral Match to Triethyl citrate from NIST14 M+Na,CCOC(=O)CC(O)(CC(=O)OCC)C(=O)OCC,DOOTYTYQINUNNV-UHFFFAOYSA-N,3499.936656,CCMSLIB00003135717
Spectral Match to Phthalic anhydride from NIST14 M+H,O=C1OC(=O)c2ccccc21,LGRFSURHDFAFJT-UHFFFAOYSA-N,799.9621923,CCMSLIB00003135806
fenamiphos [M+H]+,CCOP(=O)(NC(C)C)Oc1ccc(SC)c(C)c1,ZCJPOPBZHLUFHF-UHFFFAOYSA-N,9.999868147,CCMSLIB00006581669
quinalphos [M+H]+,CCOP(=S)(OCC)Oc1cnc2ccccc2n1,JYQUHIFYBATCCY-UHFFFAOYSA-N,74.99899423,CCMSLIB00006581739
phosalone [M+H]+,CCOP(=S)(OCC)SCn1c(=O)oc2cc(Cl)ccc21,IOUNQDKNJZEDEP-UHFFFAOYSA-N,111.9951281,CCMSLIB00006581750
phoxim [M+H]+,CCOP(=S)(OCC)ON=C(C#N)c1ccccc1,ATROHALUCMTWTB-UHFFFAOYSA-N,249.9966479,CCMSLIB00006581783
tubocurarine CollisionEnergy:102040 M+H],COc1cc2c3cc1Oc1cc(ccc1O)CC1c4c(cc(OC)c(O)c4Oc4ccc(cc4)CC3N(C)CC2)CC[N+]1(C)C,JFJZZMVDLULRGK-UHFFFAOYSA-O,17.99873062,CCMSLIB00010112220
PROPAFENONE [M+H]+,CCCNCC(O)COc1ccccc1C(=O)CCc1ccccc1,JWHAUXFOSRPERK-UHFFFAOYSA-N,59.99103819,CCMSLIB00012465246
DOBUTAMINE [M+H]+,CC(CCc1ccc(O)cc1)NCCc1ccc(O)c(O)c1,JRWZLRBJNMZMFE-UHFFFAOYSA-N,40.00185811,CCMSLIB00012467990
CHLORALOSE [M+H]+,OCC(O)C1OC2OC(C(Cl)(Cl)Cl)OC2C1O,OJYGBLRPYBAHRT-UHFFFAOYSA-N,249.9765773,CCMSLIB00012469022
