name,Canonical SMILES,InChIKey,SPECTRUMID,Toxicity Value
Monensin M+Na,CCC1(C2OC(C3OC(O)(CO)C(C)CC3C)CC2C)CCC(C2(C)CCC3(CC(O)C(C)C(C(C)C(OC)C(C)C(=O)O)O3)O2)O1,GAOZTHIDHYLHMS-UHFFFAOYSA-N,CCMSLIB00000081287,10.00028322
Ebastin M+H,CC(C)(C)c1ccc(C(=O)CCCN2CCC(OC(c3ccccc3)c3ccccc3)CC2)cc1,MJJALKDDGIKVBE-UHFFFAOYSA-N,CCMSLIB00000081580,160.0105608
Levocetirizine M+H,O=C(O)COCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1,ZKLPARSLTMPFCP-UHFFFAOYSA-N,CCMSLIB00000081597,320.0041143
Sparfloxacin M+H,CC1CN(c2c(F)c(N)c3c(=O)c(C(=O)O)cn(C4CC4)c3c2F)CC(C)N1,DZZWHBIBMUVIIW-UHFFFAOYSA-N,CCMSLIB00000081722,599.9908256
Ofloxacin M+H,CC1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,GSDSWSVVBLHKDQ-UHFFFAOYSA-N,CCMSLIB00000081724,200.0149432
Theobromine M+H,Cn1cnc2c1c(=O)[nH]c(=O)n2C,YAPQBXQYLJRXSA-UHFFFAOYSA-N,CCMSLIB00000424791,299.9883444
Perondropril M+H,CCCC(NC(C)C(=O)N1C(C(=O)O)CC2CCCCC21)C(=O)OCC,IPVQLZZIHOAWMC-UHFFFAOYSA-N,CCMSLIB00002053741,1600.112899
Methamphetamine M+H,CNC(C)Cc1ccccc1,MYWUZJCMWCOHBA-UHFFFAOYSA-N,CCMSLIB00004722181,9.999530951
Simvastatin M+NH4 M+NH4,CCC(C)(C)C(=O)OC1CC(C)C=C2C=CC(C)C(CCC3CC(O)CC(=O)O3)C21,RYMZZMVNJRMUDD-UHFFFAOYSA-N,CCMSLIB00005435656,5000.310578
PYRIDOXAL M+H,Cc1ncc(CO)c(C=O)c1O,RADKZDMFGJYCBB-UHFFFAOYSA-N,CCMSLIB00005436172,499.9880361
Isoxaben M+H,CCC(C)(CC)c1cc(NC(=O)c2c(OC)cccc2OC)on1,PMHURSZHKKJGBM-UHFFFAOYSA-N,CCMSLIB00005466087,4999.999997
Nicotine M+H,CN1CCCC1c1cccnc1,SNICXCGAKADSCV-UHFFFAOYSA-N,CCMSLIB00005720169,9.199659749
