name,Canonical SMILES,InChIKey,Toxicity Value,SPECTRUMID
Pseudoephedrine M+H,CNC(C)C(O)c1ccccc1,KWGRBVOPPLSCSI-UHFFFAOYSA-N,97.99644155,CCMSLIB00000081578
Quinidine M+H,C=CC1CN2CCC1CC2C(O)c1ccnc2ccc(OC)cc12,LOUPRKONTZGTKE-UHFFFAOYSA-N,56.99578329,CCMSLIB00000424789
Penicillin G M+H,CC1(C)SC2C(NC(=O)Cc3ccccc3)C(=O)N2C1C(=O)O,JGSARLDLIJGVTE-UHFFFAOYSA-N,303.0027184,CCMSLIB00003739952
Cocaine M+H,COC(=O)C1C(OC(=O)c2ccccc2)CC2CCC1N2C,ZPUCINDJVBIVPJ-UHFFFAOYSA-N,14.56161597,CCMSLIB00004679364
T-2 Toxin M+Na,CC(=O)OCC12CC(OC(=O)CC(C)C)C(C)=CC1OC1C(O)C(OC(C)=O)C2(C)C12CO2,BXFOFFBJRFZBQZ-UHFFFAOYSA-N,1.299924763,CCMSLIB00004681488
Ethylenediaminetetraacetic acid EDTA M+H,O=C(O)CN(CCN(CC(=O)O)CC(=O)O)CC(=O)O,KCXVZYZYPLLWCC-UHFFFAOYSA-N,66.99908293,CCMSLIB00005435779
Nicotine M+H,CN1CCCC1c1cccnc1,SNICXCGAKADSCV-UHFFFAOYSA-N,4.499833579,CCMSLIB00005720169
Diacetoxyscirpenol M+NH3,CC(=O)OCC12CCC(C)=CC1OC1C(O)C(OC(C)=O)C2(C)C12CO2,AUGQEEXBDZWUJY-UHFFFAOYSA-N,0.999972708,CCMSLIB00005723555
SEROTONIN - 20.0 eV M+H,NCCc1c[nH]c2ccc(O)cc12,QZAYGJVTTNCVMB-UHFFFAOYSA-N,12.79934626,CCMSLIB00005883502
N-ACETYLNEURAMINATE - 20.0 eV M+H,CC(=O)NC1C(O)CC(O)(C(=O)O)OC1C(O)C(O)CO,SQVRNKJHWKZAKO-UHFFFAOYSA-N,4999.983836,CCMSLIB00005883610
FOLIC ACID - 20.0 eV M+H,Nc1nc(=O)c2nc(CNc3ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc3)cnc2[nH]1,OVBPIULPVIDEAO-UHFFFAOYSA-N,122.9622949,CCMSLIB00005883886
HISTAMINE - 20.0 eV M+H,NCCc1cnc[nH]1,NTYJJOPFIAHURM-UHFFFAOYSA-N,0.316615746,CCMSLIB00005884473
chloramphenicol M+H,O=C(NC(CO)C(O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl,WIIZWVCIJKGZOK-UHFFFAOYSA-N,559.9965335,CCMSLIB00006718020
(-)-N-METHYLEPHEDRINE M+H,CC(C(O)c1ccccc1)N(C)C,FMCGSUUBYTWNDP-UHFFFAOYSA-N,117.9980252,CCMSLIB00007730291
Clenbuterol M+H,CC(C)(C)NCC(O)c1cc(Cl)c(N)c(Cl)c1,STJMRWALKKWQGH-UHFFFAOYSA-N,12.59977273,CCMSLIB00011427530
"[(1S,2R,3R,4R,5R,6S,7S,8R,9R,13R,14R,16S,17S,18R)-8-acetyloxy-11-ethyl-5,7,14-trihydroxy-6,16,18-trimethoxy-13-(methoxymethyl)-11-azahexacyclo[7.7.2.12,5.01,10.03,8.013,17]nonadecan-4-yl] benzoate M+H",CCN1CC2(COC)C(O)CC(OC)C34C5CC6(O)C(OC)C(O)C(OC(C)=O)(C5C6OC(=O)c5ccccc5)C(C(OC)C23)C14,XFSBVAOIAHNAPC-UHFFFAOYSA-N,0.059995726,CCMSLIB00012079744
Dibucaine M+H,CCCCOc1cc(C(=O)NCCN(CC)CC)c2ccccc2n1,PUFQVTATUTYEAL-UHFFFAOYSA-N,3.097261488,CCMSLIB00012176187
Procainamide M+H,CCN(CC)CCNC(=O)c1ccc(N)cc1,REQCZEXYDRLIBE-UHFFFAOYSA-N,279.9988101,CCMSLIB00012176191
THIAMINE PYROPHOSPHATE M+H,Cc1ncc(C[n+]2csc(CCOP(=O)(O)OP(=O)(O)O)c2C)c(N)n1,AYEKOFBPNLCAJY-UHFFFAOYSA-O,335.0000001,CCMSLIB00013583349
Ketoconazole [M+H]+,CC(=O)N1CCN(c2ccc(OCC3COC(Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1,XMAYWYJOQHXEEK-UHFFFAOYSA-N,23.2982463,CCMSLIB00015625787
Promethazine [M+H]+,CC(CN1c2ccccc2Sc2ccccc21)N(C)C,PWWVAXIEGOYWEE-UHFFFAOYSA-N,33.87143466,CCMSLIB00015625804
