name,Canonical SMILES,InChIKey,Toxicity Value,SPECTRUMID
"2,6-di-tert-butyl-4-methylphenol M-H",Cc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1,NLZUEZXRPGMBCV-UHFFFAOYSA-N,10699.70864,CCMSLIB00000081568
Ambroxol M-H,Nc1c(Br)cc(Br)cc1CNC1CCC(O)CC1,JBDGDEWWOUBZPM-UHFFFAOYSA-N,1179.975033,CCMSLIB00000081576
Coumarin M+H,O=c1ccc2ccccc2o1,ZYGHJZDHTFUPRJ-UHFFFAOYSA-N,201.9930891,CCMSLIB00000424787
Quinidine M+H,C=CC1CN2CCC1CC2C(O)c1ccnc2ccc(OC)cc12,LOUPRKONTZGTKE-UHFFFAOYSA-N,1799.866839,CCMSLIB00000424789
Vanillin M+H,COc1cc(C=O)ccc1O,MWOOGOJBHIARFG-UHFFFAOYSA-N,1400.0092,CCMSLIB00000424792
Emetine M+H,CCC1CN2CCc3cc(OC)c(OC)cc3C2CC1CC1NCCc2cc(OC)c(OC)cc21,AUVVAXYIELKVAI-UHFFFAOYSA-N,19.99796111,CCMSLIB00000424795
Ibuprofen M+H,CC(C)Cc1ccc(C(C)C(=O)O)cc1,HEFNNWSXXWATRW-UHFFFAOYSA-N,494.9880026,CCMSLIB00000424946
Aflatoxin B1 (putative_Observed from A. flavus)  M+Na,COc1cc2c(c3oc(=O)c4c(c13)CCC4=O)C1C=COC1O2,OQIQSTLJSLGHID-UHFFFAOYSA-N,1.999955167,CCMSLIB00000427294
Bis(2-ethylhexyl) phthalate M+H,CCCCC(CC)COC(=O)c1ccccc1C(=O)OCC(CC)CCCC,BJQHLKABXJIVAM-UHFFFAOYSA-N,26002.39653,CCMSLIB00000574967
Antimycin A1 M+H,CCCCCCC1C(=O)OC(C)C(NC(=O)c2cccc(NC=O)c2O)C(=O)OC(C)C1OC(=O)CC(C)C,UIFFUZWRFRDZJC-UHFFFAOYSA-N,1.799891729,CCMSLIB00000578442
Penicillin G M+H,CC1(C)SC2C(NC(=O)Cc3ccccc3)C(=O)N2C1C(=O)O,JGSARLDLIJGVTE-UHFFFAOYSA-N,382.0034268,CCMSLIB00003739952
Dextromethorphan M+H,COc1ccc2c(c1)C13CCCCC1C(C2)N(C)CC3,MKXZASYAUGDDCJ-UHFFFAOYSA-N,335.9950477,CCMSLIB00004679246
Codeine M+H,COc1ccc2c3c1OC1C(O)C=CC4C(C2)N(C)CCC341,OROGSEYTTFOCAN-UHFFFAOYSA-N,654.0655377,CCMSLIB00004679363
T-2 Toxin M+Na,CC(=O)OCC12CC(OC(=O)CC(C)C)C(C)=CC1OC1C(O)C(OC(C)=O)C2(C)C12CO2,BXFOFFBJRFZBQZ-UHFFFAOYSA-N,0.999942126,CCMSLIB00004681488
HT-2 Toxin M+NH4,CC(=O)OCC12CC(OC(=O)CC(C)C)C(C)=CC1OC1C(O)C(O)C2(C)C12CO2,PNKLMTPXERFKEN-UHFFFAOYSA-N,0.500011779,CCMSLIB00004681490
Methamphetamine M+H,CNC(C)Cc1ccccc1,MYWUZJCMWCOHBA-UHFFFAOYSA-N,89.99577847,CCMSLIB00004722181
