name,Canonical SMILES,InChIKey,SPECTRUMID,Toxicity Value
Etamycin M+H,CC(C)CC1NC(=O)C(NC(=O)c2ncccc2O)C(C)OC(=O)C(c2ccccc2)N(C)C(=O)C(C)NC(=O)C(C(C)C(C)C)N(C)C(=O)CN(C)C(=O)C2CC(O)CN2C1=O,SATIISJKSAELDC-UHFFFAOYSA-N,CCMSLIB00000001631,35.99897614
Rifamycin S M+Na,COC1C=COC2(C)Oc3c(C)c(O)c4c(c3C2=O)C(=O)C=C(NC(=O)C(C)=CC=CC(C)C(O)C(C)C(O)C(C)C(OC(C)=O)C1C)C4=O,BTVYFIMKUHNOBZ-UHFFFAOYSA-N,CCMSLIB00000001651,122.0066631
cyclo(L-Leu-L-Pro) M+H,CC(C)CC1NC(=O)C2CCCN2C1=O,SZJNCZMRZAUNQT-UHFFFAOYSA-N,CCMSLIB00000007046,79.99733691
Desferrioxamine B M+H,CC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCN,UBQYURCVBFRUQT-UHFFFAOYSA-N,CCMSLIB00000072100,250.0031214
Phosphocholine M+H,C[N+](C)(C)CCOP(=O)(O)O,YHHSONZFOIEMCP-UHFFFAOYSA-O,CCMSLIB00000072175,1599.982624
Plipastatin M+H,CCCCCCCCCCCCCC(O)CC(=O)NC(CCC(=O)O)C(=O)NC(CCCN)C(=O)NC1Cc2ccc(cc2)OC(=O)C(C(C)CC)NC(=O)C(Cc2ccc(O)cc2)NC(=O)C(CCC(N)=O)NC(=O)C2CCCN2C(=O)C(C)NC(=O)C(CCC(=O)O)NC(=O)C(C(C)O)NC1=O,CUOJDWBMJMRDHN-UHFFFAOYSA-N,CCMSLIB00000072176,199.9950809
Rutin M-H,CC1OC(OCC2OC(Oc3c(-c4ccc(O)c(O)c4)oc4cc(O)cc(O)c4c3=O)C(O)C(O)C2O)C(O)C(O)C1O,IKGXIBQEEMLURG-UHFFFAOYSA-N,CCMSLIB00000077235,949.9673221
7-hydroxy-coumarin M+H,O=c1ccc2ccc(O)cc2o1,ORHBXUUXSCNDEV-UHFFFAOYSA-N,CCMSLIB00000078844,449.9888986
4-hydroxybenzoic acid M+H,O=C(O)c1ccc(O)cc1,FJKROLUGYXJWQN-UHFFFAOYSA-N,CCMSLIB00000078846,1199.982625
Gallic acid M+H,O=C(O)c1cc(O)c(O)c(O)c1,LNTHITQWFMADLM-UHFFFAOYSA-N,CCMSLIB00000078850,319.9999998
Rosmarinic acid M+H,O=C(C=Cc1ccc(O)c(O)c1)OC(Cc1ccc(O)c(O)c1)C(=O)O,DOUMFZQKYFQNTF-UHFFFAOYSA-N,CCMSLIB00000078853,560.9719747
Salicylic acid M+H,O=C(O)c1ccccc1O,YGSDEFSMJLZEOE-UHFFFAOYSA-N,CCMSLIB00000078854,303.3106255
Maytenin M+H,CC1=C(O)C(=O)C=C2C1=CC=C1C2(C)CCC2(C)C3CC(C)C(=O)CC3(C)CCC12C,WSTYNZDAOAEEKG-UHFFFAOYSA-N,CCMSLIB00000078862,15.00024966
Physostigmine M+H,CNC(=O)Oc1ccc2c(c1)C1(C)CCN(C)C1N2C,PIJVFDBKTWXHHD-UHFFFAOYSA-N,CCMSLIB00000081265,0.399997095
