name,Canonical SMILES,InChIKey,SPECTRUMID,Toxicity Value
Etamycin M+H,CC(C)CC1NC(=O)C(NC(=O)c2ncccc2O)C(C)OC(=O)C(c2ccccc2)N(C)C(=O)C(C)NC(=O)C(C(C)C(C)C)N(C)C(=O)CN(C)C(=O)C2CC(O)CN2C1=O,SATIISJKSAELDC-UHFFFAOYSA-N,CCMSLIB00000001631,2999.914679
Rifamycin S M+Na,COC1C=COC2(C)Oc3c(C)c(O)c4c(c3C2=O)C(=O)C=C(NC(=O)C(C)=CC=CC(C)C(O)C(C)C(O)C(C)C(OC(C)=O)C1C)C4=O,BTVYFIMKUHNOBZ-UHFFFAOYSA-N,CCMSLIB00000001651,3000.163847
Microcystin LR M+H,C=C1C(=O)NC(C)C(=O)NC(CC(C)C)C(=O)NC(C(=O)O)C(C)C(=O)NC(CCCNC(=N)N)C(=O)NC(C=CC(C)=CC(C)C(Cc2ccccc2)OC)C(C)C(=O)NC(C(=O)O)CCC(=O)N1C,ZYZCGGRZINLQBL-UHFFFAOYSA-N,CCMSLIB00000071748,5.000055262
Bilirubin M+H,C=CC1=C(C)C(=Cc2[nH]c(Cc3[nH]c(C=C4NC(=O)C(C)=C4C=C)c(C)c3CCC(=O)O)c(CCC(=O)O)c2C)NC1=O,BPYKTIZUTYGOLE-UHFFFAOYSA-N,CCMSLIB00000072068,15000.69268
Desferrioxamine B M+H,CC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCN,UBQYURCVBFRUQT-UHFFFAOYSA-N,CCMSLIB00000072100,1340.016729
Phosphocholine M+H,C[N+](C)(C)CCOP(=O)(O)O,YHHSONZFOIEMCP-UHFFFAOYSA-O,CCMSLIB00000072175,12899.85989
4-hydroxybenzoic acid M+H,O=C(O)c1ccc(O)cc1,FJKROLUGYXJWQN-UHFFFAOYSA-N,CCMSLIB00000078846,2199.968146
trans-p-Hydroxycinnamic acid M+H,O=C(O)C=Cc1ccc(O)cc1,NGSWKAQJJWESNS-UHFFFAOYSA-N,CCMSLIB00000078852,2914.275213
Salicylic acid M+H,O=C(O)c1ccccc1O,YGSDEFSMJLZEOE-UHFFFAOYSA-N,CCMSLIB00000078854,509.1095101
Mangiferin M+H,O=c1c2cc(O)c(O)cc2oc2cc(O)c(C3OC(CO)C(O)C(O)C3O)c(O)c12,AEDDIBAIWPIIBD-UHFFFAOYSA-N,CCMSLIB00000078863,2.299771276
Physostigmine M+H,CNC(=O)Oc1ccc2c(c1)C1(C)CCN(C)C1N2C,PIJVFDBKTWXHHD-UHFFFAOYSA-N,CCMSLIB00000081265,2.999978207
Cucurbitacin E M+Na,CC(=O)OC(C)(C)C=CC(=O)C(C)(O)C1C(O)CC2(C)C3CC=C4C(C=C(O)C(=O)C4(C)C)C3(C)C(=O)CC12C,NDYMQXYDSVBNLL-UHFFFAOYSA-N,CCMSLIB00000081267,340.0024428
Cucurbitacin I M-H,CC(C)(O)C=CC(=O)C(C)(O)C1C(O)CC2(C)C3CC=C4C(C=C(O)C(=O)C4(C)C)C3(C)C(=O)CC12C,NISPVUDLMHQFRQ-UHFFFAOYSA-N,CCMSLIB00000081268,4.99942681
Gibberellic acid M-H,C=C1CC23CC1(O)CCC2C12C=CC(O)C(C)(C(=O)O1)C2C3C(=O)O,IXORZMNAPKEEDV-UHFFFAOYSA-N,CCMSLIB00000081269,8500.515338
6-Benzyladenine M+H,c1ccc(CNc2ncnc3nc[nH]c23)cc1,NWBJYWHLCVSVIJ-UHFFFAOYSA-N,CCMSLIB00000081271,1299.971142
Monensin M+Na,CCC1(C2OC(C3OC(O)(CO)C(C)CC3C)CC2C)CCC(C2(C)CCC3(CC(O)C(C)C(C(C)C(OC)C(C)C(=O)O)O3)O2)O1,GAOZTHIDHYLHMS-UHFFFAOYSA-N,CCMSLIB00000081287,43.90112938
Catechin M+H,Oc1cc(O)c2c(c1)OC(c1ccc(O)c(O)c1)C(O)C2,PFTAWBLQPZVEMU-UHFFFAOYSA-N,CCMSLIB00000081476,9999.965552
"2,6-di-tert-butyl-4-methylphenol M-H",Cc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1,NLZUEZXRPGMBCV-UHFFFAOYSA-N,CCMSLIB00000081568,649.9823008
Pseudoephedrine M+H,CNC(C)C(O)c1ccccc1,KWGRBVOPPLSCSI-UHFFFAOYSA-N,CCMSLIB00000081578,496.024043
Ebastin M+H,CC(C)(C)c1ccc(C(=O)CCCN2CCC(OC(c3ccccc3)c3ccccc3)CC2)cc1,MJJALKDDGIKVBE-UHFFFAOYSA-N,CCMSLIB00000081580,4000.264013
Melatonin M+H,COc1ccc2[nH]cc(CCNC(C)=O)c2c1,DRLFMBDRBRZALE-UHFFFAOYSA-N,CCMSLIB00000081598,1249.983857
Propentofylline M+H,CCCn1cnc2c1c(=O)n(CCCCC(C)=O)c(=O)n2C,RBQOQRRFDPXAGN-UHFFFAOYSA-N,CCMSLIB00000081603,779.9847235
Piperin M+H,O=C(C=CC=Cc1ccc2c(c1)OCO2)N1CCCCC1,MXXWOMGUGJBKIW-UHFFFAOYSA-N,CCMSLIB00000081712,329.9965306
Dihydroergotamine M+H,CN1CC(C(=O)NC2(C)OC3(O)C4CCCN4C(=O)C(Cc4ccccc4)N3C2=O)CC2c3cccc4[nH]cc(c34)CC21,LUZRJRNZXALNLM-UHFFFAOYSA-N,CCMSLIB00000081715,8000.150762
