name,Canonical SMILES,InChIKey,SPECTRUMID,Toxicity Value
Salicylic acid M+H,O=C(O)c1ccccc1O,YGSDEFSMJLZEOE-UHFFFAOYSA-N,CCMSLIB00000078854,414.9939904
Physostigmine M+H,CNC(=O)Oc1ccc2c(c1)C1(C)CCN(C)C1N2C,PIJVFDBKTWXHHD-UHFFFAOYSA-N,CCMSLIB00000081265,0.499996368
Pseudoephedrine M+H,CNC(C)C(O)c1ccccc1,KWGRBVOPPLSCSI-UHFFFAOYSA-N,CCMSLIB00000081578,64.99763981
Propentofylline M+H,CCCn1cnc2c1c(=O)n(CCCCC(C)=O)c(=O)n2C,RBQOQRRFDPXAGN-UHFFFAOYSA-N,CCMSLIB00000081603,88.99825692
Dihydroergotamine M+H,CN1CC(C(=O)NC2(C)OC3(O)C4CCCN4C(=O)C(Cc4ccccc4)N3C2=O)CC2c3cccc4[nH]cc(c34)CC21,LUZRJRNZXALNLM-UHFFFAOYSA-N,CCMSLIB00000081715,25.00047115
Papaverine M+H,COc1ccc(Cc2nccc3cc(OC)c(OC)cc23)cc1OC,XQYZDYMELSJDRZ-UHFFFAOYSA-N,CCMSLIB00000424788,25.00066294
Quinidine M+H,C=CC1CN2CCC1CC2C(O)c1ccnc2ccc(OC)cc12,LOUPRKONTZGTKE-UHFFFAOYSA-N,CCMSLIB00000424789,34.99741082
_130029 M+H,COc1cc(=O)oc(C=CC=CC=CC(C)=CC2(C)OC(C)C(C)(O)C2O)c1C,JLSVDPQAIKFBTO-UHFFFAOYSA-N,CCMSLIB00000478462,5.000161499
Dextromethorphan M+H,COc1ccc2c(c1)C13CCCCC1C(C2)N(C)CC3,MKXZASYAUGDDCJ-UHFFFAOYSA-N,CCMSLIB00004679246,14.41759449
Dextrorphan M+H,CN1CCC23CCCCC2C1Cc1ccc(O)cc13,JAQUASYNZVUNQP-UHFFFAOYSA-N,CCMSLIB00004679248,23.06449789
Amphetamine M+H,CC(N)Cc1ccccc1,KWTSXDURSIMDCE-UHFFFAOYSA-N,CCMSLIB00004679311,12.24744872
Codeine M+H,COc1ccc2c3c1OC1C(O)C=CC4C(C2)N(C)CCC341,OROGSEYTTFOCAN-UHFFFAOYSA-N,CCMSLIB00004679363,47.73318119
Cocaine M+H,COC(=O)C1C(OC(=O)c2ccccc2)CC2CCC1N2C,ZPUCINDJVBIVPJ-UHFFFAOYSA-N,CCMSLIB00004679364,15.13613213
Methamphetamine M+H,CNC(C)Cc1ccccc1,MYWUZJCMWCOHBA-UHFFFAOYSA-N,CCMSLIB00004722181,2.999859287
Ethylenediaminetetraacetic acid EDTA M+H,O=C(O)CN(CCN(CC(=O)O)CC(=O)O)CC(=O)O,KCXVZYZYPLLWCC-UHFFFAOYSA-N,CCMSLIB00005435779,46.99935666
RIBITOL M+Na,OCC(O)C(O)C(O)CO,HEBKCHPVOIAQTA-UHFFFAOYSA-N,CCMSLIB00005436148,4000.105159
TAGATOSE M+Na,O=C(CO)C(O)C(O)C(O)CO,BJHIKXHVCXFQLS-UHFFFAOYSA-N,CCMSLIB00005436150,15000.33303
PSICOSE M-H,OCC1(O)OCC(O)C(O)C1O,LKDRXBCSQODPBY-UHFFFAOYSA-N,CCMSLIB00005436164,13350.29641
PYRIDOXAL M+H,Cc1ncc(CO)c(C=O)c1O,RADKZDMFGJYCBB-UHFFFAOYSA-N,CCMSLIB00005436172,464.9888729
SEBACATE M-H,O=C(O)CCCCCCCCC(=O)O,CXMXRPHRNRROMY-UHFFFAOYSA-N,CCMSLIB00005436182,1440.000001
CELLOBIOSE M+Na,OCC1OC(OC2C(CO)OC(O)C(O)C2O)C(O)C(O)C1O,GUBGYTABKSRVRQ-UHFFFAOYSA-N,CCMSLIB00005436183,25200.22087
Atropine M+H,CN1C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2,RKUNBYITZUJHSG-UHFFFAOYSA-N,CCMSLIB00005720151,50.00431966
Nicotine M+H,CN1CCCC1c1cccnc1,SNICXCGAKADSCV-UHFFFAOYSA-N,CCMSLIB00005720169,6.249768851
Tutin M+H,C=C(C)C1C2OC(=O)C1C1(O)C3OC3C3(CO3)C1(C)C2O,CCAZWUJBLXKBAY-UHFFFAOYSA-N,CCMSLIB00005723341,1.243987319
Diacetoxyscirpenol M+NH3,CC(=O)OCC12CCC(C)=CC1OC1C(O)C(OC(C)=O)C2(C)C12CO2,AUGQEEXBDZWUJY-UHFFFAOYSA-N,CCMSLIB00005723555,0.999972708
Chloroquine M+H,CCN(CC)CCCC(C)Nc1ccnc2cc(Cl)ccc12,WHTVZRBIWZFKQO-UHFFFAOYSA-N,CCMSLIB00005723985,8.000500194
Reduced Glutathione + H+ M+H,NC(CCC(=O)NC(CS)C(=O)NCC(=O)O)C(=O)O,RWSXRVCMGQZWBV-UHFFFAOYSA-N,CCMSLIB00005724009,2000.013016
Verrucarin A M+H,CC1=CC2OC3CC4OC(=O)C=CC=CC(=O)OCCC(C)C(O)C(=O)OCC2(CC1)C4(C)C31CO1,NLUGUZJQJYVUHS-UHFFFAOYSA-N,CCMSLIB00005725545,0.54004298
TYRAMINE - 20.0 eV M+H,NCCc1ccc(O)cc1,DZGWFCGJZKJUFP-UHFFFAOYSA-N,CCMSLIB00005883154,299.9956259
4-AMINOBENZOATE - 20.0 eV M+H,Nc1ccc(C(=O)O)cc1,ALYNCZNDIQEVRV-UHFFFAOYSA-N,CCMSLIB00005883526,2000.029167
TAURINE - 20.0 eV M+H,NCCS(=O)(=O)O,XOAAWQZATWQOTB-UHFFFAOYSA-N,CCMSLIB00005883652,1000.00799
"3,4-DIHYDROXY-L-PHENYLALANINE - 20.0 eV M+H",NC(Cc1ccc(O)c(O)c1)C(=O)O,WTDRDQBEARUVNC-UHFFFAOYSA-N,CCMSLIB00005883814,144
FOLIC ACID - 20.0 eV M+H,Nc1nc(=O)c2nc(CNc3ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc3)cnc2[nH]1,OVBPIULPVIDEAO-UHFFFAOYSA-N,CCMSLIB00005883886,420.3650762
DOPAMINE - 20.0 eV M+H,NCCc1ccc(O)c(O)c1,VYFYYTLLBUKUHU-UHFFFAOYSA-N,CCMSLIB00005884059,89.99941245
L-CARNITINE - 20.0 eV M+H,C[N+](C)(C)CC(O)CC(=O)O,PHIQHXFUZVPYII-UHFFFAOYSA-O,CCMSLIB00005884287,1200.007398
PYRIDOXAMINE - 20.0 eV M+H,Cc1ncc(CO)c(CN)c1O,NHZMQXZHNVQTQA-UHFFFAOYSA-N,CCMSLIB00005884353,699.9750296
HISTAMINE - 20.0 eV M+H,NCCc1cnc[nH]1,NTYJJOPFIAHURM-UHFFFAOYSA-N,CCMSLIB00005884473,2.763049721
EPINEPHRINE - 20.0 eV M+H,CNCC(O)c1ccc(O)c(O)c1,UCTWMZQNUQWSLP-UHFFFAOYSA-N,CCMSLIB00005884771,0.04999809
Cycloheximide M+H,CC1CC(C)C(=O)C(C(O)CC2CC(=O)NC(=O)C2)C1,YPHMISFOHDHNIV-UHFFFAOYSA-N,CCMSLIB00006718022,16.99987917
Nornicotine M+H,c1cncc(C2CCCN2)c1,MYKUKUCHPMASKF-UHFFFAOYSA-N,CCMSLIB00009919280,2.999817827
