name,Canonical SMILES,InChIKey,SPECTRUMID,Toxicity Value
Etamycin M+H,CC(C)CC1NC(=O)C(NC(=O)c2ncccc2O)C(C)OC(=O)C(c2ccccc2)N(C)C(=O)C(C)NC(=O)C(C(C)C(C)C)N(C)C(=O)CN(C)C(=O)C2CC(O)CN2C1=O,SATIISJKSAELDC-UHFFFAOYSA-N,CCMSLIB00000001631,3999.886233
Gallic acid M+H,O=C(O)c1cc(O)c(O)c(O)c1,LNTHITQWFMADLM-UHFFFAOYSA-N,CCMSLIB00000078850,4999.999997
Salicylic acid M+H,O=C(O)c1ccccc1O,YGSDEFSMJLZEOE-UHFFFAOYSA-N,CCMSLIB00000078854,1486.58535
Physostigmine M+H,CNC(=O)Oc1ccc2c(c1)C1(C)CCN(C)C1N2C,PIJVFDBKTWXHHD-UHFFFAOYSA-N,CCMSLIB00000081265,11.19991864
Monensin M+Na,CCC1(C2OC(C3OC(O)(CO)C(C)CC3C)CC2C)CCC(C2(C)CCC3(CC(O)C(C)C(C(C)C(OC)C(C)C(=O)O)O3)O2)O1,GAOZTHIDHYLHMS-UHFFFAOYSA-N,CCMSLIB00000081287,42.00118948
Propentofylline M+H,CCCn1cnc2c1c(=O)n(CCCCC(C)=O)c(=O)n2C,RBQOQRRFDPXAGN-UHFFFAOYSA-N,CCMSLIB00000081603,404.9920684
Dihydroergotamine M+H,CN1CC(C(=O)NC2(C)OC3(O)C4CCCN4C(=O)C(Cc4ccccc4)N3C2=O)CC2c3cccc4[nH]cc(c34)CC21,LUZRJRNZXALNLM-UHFFFAOYSA-N,CCMSLIB00000081715,8000.150762
Quinidine M+H,C=CC1CN2CCC1CC2C(O)c1ccnc2ccc(OC)cc12,LOUPRKONTZGTKE-UHFFFAOYSA-N,CCMSLIB00000424789,640.9525808
Ibuprofen M+H,CC(C)Cc1ccc(C(C)C(=O)O)cc1,HEFNNWSXXWATRW-UHFFFAOYSA-N,CCMSLIB00000424946,1399.966066
Mycophenolic acid_130117 M+H,COc1c(C)c2c(c(O)c1CC=C(C)CCC(=O)O)C(=O)OC2,HPNSFSBZBAHARI-UHFFFAOYSA-N,CCMSLIB00000478521,5999.232063
Bis(2-ethylhexyl) phthalate M+H,CCCCC(CC)COC(=O)c1ccccc1C(=O)OCC(CC)CCCC,BJQHLKABXJIVAM-UHFFFAOYSA-N,CCMSLIB00000574967,34003.13392
Penicillin G M+H,CC1(C)SC2C(NC(=O)Cc3ccccc3)C(=O)N2C1C(=O)O,JGSARLDLIJGVTE-UHFFFAOYSA-N,CCMSLIB00003739952,5848.052459
