name,Canonical SMILES,InChIKey,SPECTRUMID,Toxicity Value
Desferrioxamine B M+H,CC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCN,UBQYURCVBFRUQT-UHFFFAOYSA-N,CCMSLIB00000072100,329.0041076
Pseudoephedrine M+H,CNC(C)C(O)c1ccccc1,KWGRBVOPPLSCSI-UHFFFAOYSA-N,CCMSLIB00000081578,68.99749455
Lauryl sulfate M-H,CCCCCCCCCCCCOS(=O)(=O)O,MOTZDAYCYVMXPC-UHFFFAOYSA-N,CCMSLIB00000081579,117.9986712
3'-O-Methylquercetin M+H,COc1cc(-c2oc3cc(O)cc(O)c3c(=O)c2O)ccc1O,IZQSVPBOUDKVDZ-UHFFFAOYSA-N,CCMSLIB00000081594,11099.82451
Melatonin M+H,COc1ccc2[nH]cc(CCNC(C)=O)c2c1,DRLFMBDRBRZALE-UHFFFAOYSA-N,CCMSLIB00000081598,355.9954025
Propentofylline M+H,CCCn1cnc2c1c(=O)n(CCCCC(C)=O)c(=O)n2C,RBQOQRRFDPXAGN-UHFFFAOYSA-N,CCMSLIB00000081603,179.9964749
Ofloxacin M+H,CC1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,GSDSWSVVBLHKDQ-UHFFFAOYSA-N,CCMSLIB00000081724,273.0203972
Ciprofloxacin M+H,O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O,MYSWGUAQZAJSOK-UHFFFAOYSA-N,CCMSLIB00000081726,234.2492127
Pilocarpine M+H,CCC1C(=O)OCC1Cc1cncn1C,QCHFTSOMWOSFHM-UHFFFAOYSA-N,CCMSLIB00000424786,88.49957499
Papaverine M+H,COc1ccc(Cc2nccc3cc(OC)c(OC)cc23)cc1OC,XQYZDYMELSJDRZ-UHFFFAOYSA-N,CCMSLIB00000424788,16.30993893
Quinidine M+H,C=CC1CN2CCC1CC2C(O)c1ccnc2ccc(OC)cc12,LOUPRKONTZGTKE-UHFFFAOYSA-N,CCMSLIB00000424789,45.26134386
Mycophenolic acid_130117 M+H,COc1c(C)c2c(c(O)c1CC=C(C)CCC(=O)O)C(=O)OC2,HPNSFSBZBAHARI-UHFFFAOYSA-N,CCMSLIB00000478521,449.9424053
Bis(2-ethylhexyl) phthalate M+H,CCCCC(CC)COC(=O)c1ccccc1C(=O)OCC(CC)CCCC,BJQHLKABXJIVAM-UHFFFAOYSA-N,CCMSLIB00000574967,250.0230438
Phenolsulfonphthalein M+H,O=S1(=O)OC(c2ccc(O)cc2)(c2ccc(O)cc2)c2ccccc21,BELBBZDIHDAJOR-UHFFFAOYSA-N,CCMSLIB00000579283,752.0360735
captopril M+H,CC(CS)C(=O)N1CCCC1C(=O)O,FAKRSMQSSFJEIM-UHFFFAOYSA-N,CCMSLIB00000840557,554.0000002
Perondropril M+H,CCCC(NC(C)C(=O)N1C(C(=O)O)CC2CCCCC21)C(=O)OCC,IPVQLZZIHOAWMC-UHFFFAOYSA-N,CCMSLIB00002053741,323.022791
Perondroprilat M+H,CCCC(NC(C)C(=O)N1C(C(=O)O)CC2CCCCC21)C(=O)O,ODAIHABQVKJNIY-UHFFFAOYSA-N,CCMSLIB00002053742,1999.882497
Tobramycin [2M+H] 2M+H,NCC1OC(OC2C(N)CC(N)C(OC3OC(CO)C(O)C(N)C3O)C2O)C(N)CC1O,NLVFBUXFDBBNBW-UHFFFAOYSA-N,CCMSLIB00003142414,103.995551
Ampicillin M+H,CC1(C)SC2C(NC(=O)C(N)c3ccccc3)C(=O)N2C1C(=O)O,AVKUERGKIZMTKX-UHFFFAOYSA-N,CCMSLIB00003739946,6199.787065
Nalidixic Acid M+H,CCn1cc(C(=O)O)c(=O)c2ccc(C)nc21,MHWLWQUZZRMNGJ-UHFFFAOYSA-N,CCMSLIB00003739951,1159.955045
Glycine M+H,NCC(=O)O,DHMQDGOQFOQNFH-UHFFFAOYSA-N,CCMSLIB00003740023,2600.103907
Aspartic acid M+H,NC(CC(=O)O)C(=O)O,CKLJMWTZIZZHCS-UHFFFAOYSA-N,CCMSLIB00003740024,379.5596203
Histidine M+H,NC(Cc1cnc[nH]1)C(=O)O,HNDVDQJCIGZPNO-UHFFFAOYSA-N,CCMSLIB00003740030,1999.90977
Dextromethorphan M+H,COc1ccc2c(c1)C13CCCCC1C(C2)N(C)CC3,MKXZASYAUGDDCJ-UHFFFAOYSA-N,CCMSLIB00004679246,16.28575996
Dextrorphan M+H,CN1CCC23CCCCC2C1Cc1ccc(O)cc13,JAQUASYNZVUNQP-UHFFFAOYSA-N,CCMSLIB00004679248,20.99942884
Midazolam M+H,Cc1ncc2n1-c1ccc(Cl)cc1C(c1ccccc1F)=NC2,DDLIGBOFAVUZHB-UHFFFAOYSA-N,CCMSLIB00004679251,75.00598574
Mescaline M+H,COc1cc(CCN)cc(OC)c1OC,RHCSKNNOAZULRK-UHFFFAOYSA-N,CCMSLIB00004679310,156.9992568
Ketamine M+H,CNC1(c2ccccc2Cl)CCCCC1=O,YQEZLKZALYSWHR-UHFFFAOYSA-N,CCMSLIB00004679319,58.87752325
Codeine M+H,COc1ccc2c3c1OC1C(O)C=CC4C(C2)N(C)CCC341,OROGSEYTTFOCAN-UHFFFAOYSA-N,CCMSLIB00004679363,61.8763112
Cocaine M+H,COC(=O)C1C(OC(=O)c2ccccc2)CC2CCC1N2C,ZPUCINDJVBIVPJ-UHFFFAOYSA-N,CCMSLIB00004679364,17.11795492
Methadone M+H,CCC(=O)C(CC(C)N(C)C)(c1ccccc1)c1ccccc1,USSIQXCVUWKGNF-UHFFFAOYSA-N,CCMSLIB00004679365,10.36215326
T-2 Toxin M+Na,CC(=O)OCC12CC(OC(=O)CC(C)C)C(C)=CC1OC1C(O)C(OC(C)=O)C2(C)C12CO2,BXFOFFBJRFZBQZ-UHFFFAOYSA-N,CCMSLIB00004681488,0.739957172
berberine M+,COc1ccc2cc3[n+](cc2c1OC)CCc1cc2c(cc1-3)OCO2,YBHILYKTIRIUTE-UHFFFAOYSA-N,CCMSLIB00004681491,52.65495163
Sibiromycin hemiaminal M+H,CC=CC1=CN2C(=O)c3cc(OC4OC(C)C(NC)C(C)(O)C4O)c(C)c(O)c3NC(O)C2C1,RAGFPHFDFVNLCG-UHFFFAOYSA-N,CCMSLIB00004721935,0.028997439
Lincomycin A M+H,CCCC1CC(C(=O)NC(C(C)O)C2OC(SC)C(O)C(O)C2O)N(C)C1,OJMMVQQUTAEWLP-UHFFFAOYSA-N,CCMSLIB00004721938,341.9621445
Buprenorphine M+H,COC12CCC3(CC1C(C)(O)C(C)(C)C)C1Cc4ccc(O)c5c4C3(CCN1CC1CC1)C2O5,RMRJXGBAOAMLHD-UHFFFAOYSA-N,CCMSLIB00004722159,43.8359331
Methamphetamine M+H,CNC(C)Cc1ccccc1,MYWUZJCMWCOHBA-UHFFFAOYSA-N,CCMSLIB00004722181,12.99939023
huperzine A M+H,CC=C1C2C=C(C)CC1(N)c1ccc(=O)[nH]c1C2,ZRJBHWIHUMBLCN-UHFFFAOYSA-N,CCMSLIB00004746755,2.499979367
Clavulanic Acid - Dark Web Drugs 2M-H+Na,O=C(O)C1C(=CCO)OC2CC(=O)N21,HZZVJAQRINQKSD-UHFFFAOYSA-N,CCMSLIB00005434466,325.9967261
Ethylenediaminetetraacetic acid EDTA M+H,O=C(O)CN(CCN(CC(=O)O)CC(=O)O)CC(=O)O,KCXVZYZYPLLWCC-UHFFFAOYSA-N,CCMSLIB00005435779,42.99941144
