name,Canonical SMILES,InChIKey,SPECTRUMID,Toxicity Value
Riboflavin M+H,Cc1cc2nc3c(=O)[nH]c(=O)nc-3n(CC(O)C(O)C(O)CO)c2cc1C,AUNGANRZJHBGPY-UHFFFAOYSA-N,CCMSLIB00000072245,10000.82366
Catechin M+H,Oc1cc(O)c2c(c1)OC(c1ccc(O)c(O)c1)C(O)C2,PFTAWBLQPZVEMU-UHFFFAOYSA-N,CCMSLIB00000081476,9999.965552
Ambroxol M-H,Nc1c(Br)cc(Br)cc1CNC1CCC(O)CC1,JBDGDEWWOUBZPM-UHFFFAOYSA-N,CCMSLIB00000081576,7504.519758
Pseudoephedrine M+H,CNC(C)C(O)c1ccccc1,KWGRBVOPPLSCSI-UHFFFAOYSA-N,CCMSLIB00000081578,639.3381262
Lauryl sulfate M-H,CCCCCCCCCCCCOS(=O)(=O)O,MOTZDAYCYVMXPC-UHFFFAOYSA-N,CCMSLIB00000081579,1293.971516
Melatonin M+H,COc1ccc2[nH]cc(CCNC(C)=O)c2c1,DRLFMBDRBRZALE-UHFFFAOYSA-N,CCMSLIB00000081598,3199.958672
Propentofylline M+H,CCCn1cnc2c1c(=O)n(CCCCC(C)=O)c(=O)n2C,RBQOQRRFDPXAGN-UHFFFAOYSA-N,CCMSLIB00000081603,939.9815901
Ofloxacin M+H,CC1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,GSDSWSVVBLHKDQ-UHFFFAOYSA-N,CCMSLIB00000081724,2303.65208
Ciprofloxacin M+H,O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O,MYSWGUAQZAJSOK-UHFFFAOYSA-N,CCMSLIB00000081726,2714.36027
Pilocarpine M+H,CCC1C(=O)OCC1Cc1cncn1C,QCHFTSOMWOSFHM-UHFFFAOYSA-N,CCMSLIB00000424786,528.0253123
Papaverine M+H,COc1ccc(Cc2nccc3cc(OC)c(OC)cc23)cc1OC,XQYZDYMELSJDRZ-UHFFFAOYSA-N,CCMSLIB00000424788,149.5365704
Quinidine M+H,C=CC1CN2CCC1CC2C(O)c1ccnc2ccc(OC)cc12,LOUPRKONTZGTKE-UHFFFAOYSA-N,CCMSLIB00000424789,607.9728737
Mycophenolic acid_130117 M+H,COc1c(C)c2c(c(O)c1CC=C(C)CCC(=O)O)C(=O)OC2,HPNSFSBZBAHARI-UHFFFAOYSA-N,CCMSLIB00000478521,351.9549484
Bis(2-ethylhexyl) phthalate M+H,CCCCC(CC)COC(=O)c1ccccc1C(=O)OCC(CC)CCCC,BJQHLKABXJIVAM-UHFFFAOYSA-N,CCMSLIB00000574967,30002.76525
captopril M+H,CC(CS)C(=O)N1CCCC1C(=O)O,FAKRSMQSSFJEIM-UHFFFAOYSA-N,CCMSLIB00000840557,4245.000003
Perondropril M+H,CCCC(NC(C)C(=O)N1C(C(=O)O)CC2CCCCC21)C(=O)OCC,IPVQLZZIHOAWMC-UHFFFAOYSA-N,CCMSLIB00002053741,3000.211685
Tobramycin [2M+H] 2M+H,NCC1OC(OC2C(N)CC(N)C(OC3OC(CO)C(O)C(N)C3O)C2O)C(N)CC1O,NLVFBUXFDBBNBW-UHFFFAOYSA-N,CCMSLIB00003142414,7499.679156
Ampicillin M+H,CC1(C)SC2C(NC(=O)C(N)c3ccccc3)C(=O)N2C1C(=O)O,AVKUERGKIZMTKX-UHFFFAOYSA-N,CCMSLIB00003739946,6560.437232
Nalidixic Acid M+H,CCn1cc(C(=O)O)c(=O)c2ccc(C)nc21,MHWLWQUZZRMNGJ-UHFFFAOYSA-N,CCMSLIB00003739951,2039.920945
Glycine M+H,NCC(=O)O,DHMQDGOQFOQNFH-UHFFFAOYSA-N,CCMSLIB00003740023,5290.473092
Aspartic acid M+H,NC(CC(=O)O)C(=O)O,CKLJMWTZIZZHCS-UHFFFAOYSA-N,CCMSLIB00003740024,6204.24973
Histidine M+H,NC(Cc1cnc[nH]1)C(=O)O,HNDVDQJCIGZPNO-UHFFFAOYSA-N,CCMSLIB00003740030,14999.32326
Dextromethorphan M+H,COc1ccc2c(c1)C13CCCCC1C(C2)N(C)CC3,MKXZASYAUGDDCJ-UHFFFAOYSA-N,CCMSLIB00004679246,213.1324029
Dextrorphan M+H,CN1CCC23CCCCC2C1Cc1ccc(O)cc13,JAQUASYNZVUNQP-UHFFFAOYSA-N,CCMSLIB00004679248,321.8460894
Midazolam M+H,Cc1ncc2n1-c1ccc(Cl)cc1C(c1ccccc1F)=NC2,DDLIGBOFAVUZHB-UHFFFAOYSA-N,CCMSLIB00004679251,215.0171593
Ketamine M+H,CNC1(c2ccccc2Cl)CCCCC1=O,YQEZLKZALYSWHR-UHFFFAOYSA-N,CCMSLIB00004679319,446.9811974
Codeine M+H,COc1ccc2c3c1OC1C(O)C=CC4C(C2)N(C)CCC341,OROGSEYTTFOCAN-UHFFFAOYSA-N,CCMSLIB00004679363,145.5901837
Methadone M+H,CCC(=O)C(CC(C)N(C)C)(c1ccccc1)c1ccccc1,USSIQXCVUWKGNF-UHFFFAOYSA-N,CCMSLIB00004679365,60.52920883
T-2 Toxin M+Na,CC(=O)OCC12CC(OC(=O)CC(C)C)C(C)=CC1OC1C(O)C(OC(C)=O)C2(C)C12CO2,BXFOFFBJRFZBQZ-UHFFFAOYSA-N,CCMSLIB00004681488,2.69984374
berberine M+,COc1ccc2cc3[n+](cc2c1OC)CCc1cc2c(cc1-3)OCO2,YBHILYKTIRIUTE-UHFFFAOYSA-N,CCMSLIB00004681491,15001.4716
Lincomycin A M+H,CCCC1CC(C(=O)NC(C(C)O)C2OC(SC)C(O)C(O)C2O)N(C)C1,OJMMVQQUTAEWLP-UHFFFAOYSA-N,CCMSLIB00004721938,2990.366528
Buprenorphine M+H,COC12CCC3(CC1C(C)(O)C(C)(C)C)C1Cc4ccc(O)c5c4C3(CCN1CC1CC1)C2O5,RMRJXGBAOAMLHD-UHFFFAOYSA-N,CCMSLIB00004722159,999.8930817
Methamphetamine M+H,CNC(C)Cc1ccccc1,MYWUZJCMWCOHBA-UHFFFAOYSA-N,CCMSLIB00004722181,28.99863976
huperzine A M+H,CC=C1C2C=C(C)CC1(N)c1ccc(=O)[nH]c1C2,ZRJBHWIHUMBLCN-UHFFFAOYSA-N,CCMSLIB00004746755,14.99987619
Clavulanic Acid - Dark Web Drugs 2M-H+Na,O=C(O)C1C(=CCO)OC2CC(=O)N21,HZZVJAQRINQKSD-UHFFFAOYSA-N,CCMSLIB00005434466,7935.920301
Ethylenediaminetetraacetic acid EDTA M+H,O=C(O)CN(CCN(CC(=O)O)CC(=O)O)CC(=O)O,KCXVZYZYPLLWCC-UHFFFAOYSA-N,CCMSLIB00005435779,3654.164475
Pivampicillin M+Na,CC(C)(C)C(=O)OCOC(=O)C1N2C(=O)C(NC(=O)C(N)c3ccccc3)C2SC1(C)C,ZEMIJUDPLILVNQ-UHFFFAOYSA-N,CCMSLIB00005436022,5999.275173
RIBITOL M+Na,OCC(O)C(O)C(O)CO,HEBKCHPVOIAQTA-UHFFFAOYSA-N,CCMSLIB00005436148,16500.43379
PYRIDOXAL M+H,Cc1ncc(CO)c(C=O)c1O,RADKZDMFGJYCBB-UHFFFAOYSA-N,CCMSLIB00005436172,2149.948552
SEBACATE M-H,O=C(O)CCCCCCCCC(=O)O,CXMXRPHRNRROMY-UHFFFAOYSA-N,CCMSLIB00005436182,14375
CELLOBIOSE M+Na,OCC1OC(OC2C(CO)OC(O)C(O)C2O)C(O)C(O)C1O,GUBGYTABKSRVRQ-UHFFFAOYSA-N,CCMSLIB00005436183,34800.30499
BENZYL ALCOHOL M+H,OCc1ccccc1,WVDDGKGOMKODPV-UHFFFAOYSA-N,CCMSLIB00005436190,1229.999999
Meropenem M+H,CC(O)C1C(=O)N2C(C(=O)O)=C(SC3CNC(C(=O)N(C)C)C3)C(C)C12,DMJNNHOOLUXYBV-UHFFFAOYSA-N,CCMSLIB00005436472,5000.391166
Atropine M+H,CN1C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2,RKUNBYITZUJHSG-UHFFFAOYSA-N,CCMSLIB00005720151,500.0431966
Cepharanthine M+H,COc1ccc2cc1Oc1ccc(cc1)CC1c3c(cc4c(c3Oc3cc5c(cc3OC)CCN(C)C5C2)OCO4)CCN1C,YVPXVXANRNDGTA-UHFFFAOYSA-N,CCMSLIB00005720154,1999.937367
Inosine M+H,O=c1nc[nH]c2c1ncn2C1OC(CO)C(O)C1O,UGQMRVRMYYASKQ-UHFFFAOYSA-N,CCMSLIB00005720163,10000.03729
Nicotine M+H,CN1CCCC1c1cccnc1,SNICXCGAKADSCV-UHFFFAOYSA-N,CCMSLIB00005720169,49.99815081
Sanguinarine M+,C[n+]1cc2c3c(ccc2c2ccc4cc5c(cc4c21)OCO5)OCO3,INVGWHRKADIJHF-UHFFFAOYSA-N,CCMSLIB00005720179,1658.824982
Senecionine M+H,CC=C1CC(C)C(C)(O)C(=O)OCC2=CCN3CCC(OC1=O)C23,HKODIGSRFALUTA-UHFFFAOYSA-N,CCMSLIB00005720182,84.99999991
Sparteine M+H,C1CCN2CC3CC(CN4CCCCC34)C2C1,SLRCCWJSBJZJBV-UHFFFAOYSA-N,CCMSLIB00005720183,959.9713302
Putrescine M+H,NCCCCN,KIDHWZJUCRJVML-UHFFFAOYSA-N,CCMSLIB00005723335,462.9789916
Diacetoxyscirpenol M+NH3,CC(=O)OCC12CCC(C)=CC1OC1C(O)C(OC(C)=O)C2(C)C12CO2,AUGQEEXBDZWUJY-UHFFFAOYSA-N,CCMSLIB00005723555,6.999808955
Chloroquine M+H,CCN(CC)CCCC(C)Nc1ccnc2cc(Cl)ccc12,WHTVZRBIWZFKQO-UHFFFAOYSA-N,CCMSLIB00005723985,453.4486843
Adenosine M+H,Nc1ncnc2c1ncn2C1OC(CO)C(O)C1O,OIRDTQYFTABQOQ-UHFFFAOYSA-N,CCMSLIB00005724006,4999.906455
Oxidized Glutathione M+H,NC(CCC(=O)NC(CSSCC(NC(=O)CCC(N)C(=O)O)C(=O)NCC(=O)O)C(=O)NCC(=O)O)C(=O)O,YPZRWBKMTBYPTK-UHFFFAOYSA-N,CCMSLIB00005724008,4999.67354
"(1S,2R,8S)-14-oxa-7-azatetracyclo[6.6.1.0,.0,?]pentadeca-9,11-dien-13-one M+H",O=C1C=C2C=CC3CC2(O1)C1CCCCN31,SWZMSZQQJRKFBP-UHFFFAOYSA-N,CCMSLIB00005725330,799.9705426
Ochratoxin A M+H,CC1Cc2c(Cl)cc(C(=O)NC(Cc3ccccc3)C(=O)O)c(O)c2C(=O)O1,RWQKHEORZBHNRI-UHFFFAOYSA-N,CCMSLIB00005725544,19.9991085
4-AMINOBENZOATE - 20.0 eV M+H,Nc1ccc(C(=O)O)cc1,ALYNCZNDIQEVRV-UHFFFAOYSA-N,CCMSLIB00005883526,6928.304267
N-ACETYLNEURAMINATE - 20.0 eV M+H,CC(=O)NC1C(O)CC(O)(C(=O)O)OC1C(O)C(O)CO,SQVRNKJHWKZAKO-UHFFFAOYSA-N,CCMSLIB00005883610,4999.983836
CYTIDINE - 20.0 eV M+H,Nc1ccn(C2OC(CO)C(O)C2O)c(=O)n1,UHDGCWIWMRVCDJ-UHFFFAOYSA-N,CCMSLIB00005883634,4308.887091
CYSTEINE - 20.0 eV M+H,NC(CS)C(=O)O,XUJNEKJLAYXESH-UHFFFAOYSA-N,CCMSLIB00005883640,2534.934696
TAURINE - 20.0 eV M+H,NCCS(=O)(=O)O,XOAAWQZATWQOTB-UHFFFAOYSA-N,CCMSLIB00005883652,5000.039957
"3,4-DIHYDROXY-L-PHENYLALANINE - 20.0 eV M+H",NC(Cc1ccc(O)c(O)c1)C(=O)O,WTDRDQBEARUVNC-UHFFFAOYSA-N,CCMSLIB00005883814,1779.999999
NORADRENALINE - 20.0 eV M+H,NCC(O)c1ccc(O)c(O)c1,SFLSHLFXELFNJZ-UHFFFAOYSA-N,CCMSLIB00005883910,132.0000001
4-PYRIDOXATE - 20.0 eV M+H,Cc1ncc(CO)c(C(=O)O)c1O,HXACOUQIXZGNBF-UHFFFAOYSA-N,CCMSLIB00005884005,7499.877155
DOPAMINE - 20.0 eV M+H,NCCc1ccc(O)c(O)c1,VYFYYTLLBUKUHU-UHFFFAOYSA-N,CCMSLIB00005884059,2858.981336
THYROTROPIN RELEASING HORMONE - 20.0 eV M+H,NC(=O)C1CCCN1C(=O)C(Cc1cnc[nH]1)NC(=O)C1CCC(=O)N1,XNSAINXGIQZQOO-UHFFFAOYSA-N,CCMSLIB00005884137,4999.862023
ADENOSINE 5'-MONOPHOSPHATE - 20.00 eV M+H,Nc1ncnc2c1ncn2C1OC(COP(=O)(O)O)C(O)C1O,UDMBCSSLTHHNCD-UHFFFAOYSA-N,CCMSLIB00005884203,11249.87041
L-CARNITINE - 20.0 eV M+H,C[N+](C)(C)CC(O)CC(=O)O,PHIQHXFUZVPYII-UHFFFAOYSA-O,CCMSLIB00005884287,6890.042476
PYRIDOXAMINE - 20.0 eV M+H,Cc1ncc(CO)c(CN)c1O,NHZMQXZHNVQTQA-UHFFFAOYSA-N,CCMSLIB00005884353,7499.732453
GUANOSINE 5'-MONOPHOSPHATE - 20.0 eV M+H,Nc1nc(=O)c2ncn(C3OC(COP(=O)(O)O)C(O)C3O)c2[nH]1,RQFCJASXJCIDSX-UHFFFAOYSA-N,CCMSLIB00005884491,17299.85711
N-ACETYL-L-CYSTEINE - 20.0 eV M+H,CC(=O)NC(CS)C(=O)O,PWKSKIMOESPYIA-UHFFFAOYSA-N,CCMSLIB00005884593,5050.061888
INOSINE 5'-MONOPHOSPHATE - 20.0 eV M+H,O=c1nc[nH]c2c1ncn2C1OC(COP(=O)(O)O)C(O)C1O,GRSZFWQUAKGDAV-UHFFFAOYSA-N,CCMSLIB00005884599,15950.01325
5-HYDROXY-L-TRYPTOPHAN - 20.0 eV M+H,NC(Cc1c[nH]c2ccc(O)cc12)C(=O)O,LDCYZAJDBXYCGN-UHFFFAOYSA-N,CCMSLIB00005884711,242.9911729
EPINEPHRINE - 20.0 eV M+H,CNCC(O)c1ccc(O)c(O)c1,UCTWMZQNUQWSLP-UHFFFAOYSA-N,CCMSLIB00005884771,23.99908298
chloramphenicol M+H,O=C(NC(CO)C(O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl,WIIZWVCIJKGZOK-UHFFFAOYSA-N,CCMSLIB00006718020,2499.984526
Cycloheximide M+H,CC1CC(C)C(=O)C(C(O)CC2CC(=O)NC(=O)C2)C1,YPHMISFOHDHNIV-UHFFFAOYSA-N,CCMSLIB00006718022,1.999985783
Mitomycin C M+H,COC12C(COC(N)=O)C3=C(C(=O)C(C)=C(N)C3=O)N1CC1NC12,NWIBSHFKIJFRCO-UHFFFAOYSA-N,CCMSLIB00006718026,29.99982051
Thiamphenicol M+H,CS(=O)(=O)c1ccc(C(O)C(CO)NC(=O)C(Cl)Cl)cc1,OTVAEFIXJLOWRX-UHFFFAOYSA-N,CCMSLIB00006718033,4999.621029
Methamidophos M+H,COP(N)(=O)SC,NNKVPIKMPCQWCG-UHFFFAOYSA-N,CCMSLIB00006718059,7.49989371
"2,4-Dinitrophenol M-H",O=[N+]([O-])c1ccc(O)c([N+](=O)[O-])c1,UFBJCMHMOXMLKC-UHFFFAOYSA-N,CCMSLIB00006718064,30.00048882
Hydroquinone M+H,Oc1ccc(O)cc1,QIGBRXMKCJKVMJ-UHFFFAOYSA-N,CCMSLIB00006718073,301.9945147
Tenuazonic acid M+H,CCC(C)C1NC(=O)C(C(C)=O)=C1O,CEIZFXOZIQNICU-UHFFFAOYSA-N,CCMSLIB00006718083,167.9965928
Rotenone [M+H] M+H,C=C(C)C1Cc2c(ccc3c2OC2COc4cc(OC)c(OC)cc4C2C3=O)O1,,CCMSLIB00008851478,59.99650117
Griseofulvin [M+H]+ M+H,COC1=CC(=O)CC(C)C12Oc1c(Cl)c(OC)cc(OC)c1C2=O,DDUHZTYCFQRHIY-UHFFFAOYSA-N,CCMSLIB00008851495,10000.85041
